30.05.,Athletico-PR,Mirassol,1.80,3.45,4.60
30.05.,Flamengo RJ,Coritiba,1.42,4.60,6.70
30.05.,Bahia,Botafogo RJ,1.87,3.55,3.90
30.05.,Gremio,Corinthians,2.55,3.00,2.85
31.05.,Santos,Vitoria,1.80,3.45,4.55
31.05.,Bragantino,Internacional,2.10,3.25,3.50
31.05.,Palmeiras,Chapecoense-SC,1.22,6.10,12.75
31.05.,Vasco,Atletico-MG,2.00,3.35,3.65
01.06.,Cruzeiro,Fluminense,2.07,3.25,3.55
01.06.,Remo,Sao Paulo,2.85,3.20,2.50
