Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2025-11-23,Auxerre,Lyon,0,0,4.20,3.58,2.04
2025-11-22,PSG,Le Havre,3,0,1.24,9.19,15.00
2025-11-22,Rennes,Monaco,4,1,2.73,3.85,2.86
2025-11-22,Lens,Strasbourg,1,0,2.19,3.85,3.60
2025-11-21,Nice,Marseille,1,5,4.02,3.85,2.05
2025-11-09,Lyon,PSG,2,3,5.97,4.30,1.67
2025-11-09,Angers,Auxerre,2,0,2.62,3.11,3.10
2025-11-09,Metz,Nice,2,1,3.25,3.70,2.31
2025-11-09,Strasbourg,Lille,2,0,2.95,3.82,2.55
2025-11-09,Lorient,Toulouse,1,1,3.25,3.37,2.47
2025-11-08,Monaco,Lens,1,4,2.04,4.00,3.65
2025-11-08,Le Havre,Nantes,1,1,1.95,3.60,4.72
2025-11-08,Marseille,Brest,3,0,1.54,4.90,6.50
2025-11-07,Paris FC,Rennes,0,1,2.39,3.69,3.25
2025-11-02,Brest,Lyon,0,0,3.70,3.48,2.25
2025-11-02,Lens,Lorient,3,0,1.60,4.40,6.25
2025-11-02,Lille,Angers,1,0,1.40,5.34,8.90
2025-11-02,Nantes,Metz,0,2,2.15,3.70,3.60
2025-11-02,Toulouse,Le Havre,0,0,1.80,3.80,5.65
2025-11-02,Rennes,Strasbourg,4,1,2.85,3.58,2.64
2025-11-01,Auxerre,Marseille,0,1,5.65,4.00,1.71
2025-11-01,Monaco,Paris FC,0,1,1.71,4.40,4.96
2025-11-01,PSG,Nice,1,0,1.20,8.82,18.09
2025-10-29,Marseille,Angers,2,2,1.27,6.90,13.00
2025-10-29,Nantes,Monaco,3,5,5.00,4.25,1.75
2025-10-29,Paris FC,Lyon,3,3,2.98,3.70,2.57
2025-10-29,Strasbourg,Auxerre,3,0,1.75,4.11,5.10
2025-10-29,Toulouse,Rennes,2,2,2.14,3.68,3.91
2025-10-29,Le Havre,Brest,1,0,2.98,3.35,2.70
2025-10-29,Lorient,PSG,1,1,10.80,6.69,1.38
2025-10-29,Metz,Lens,2,0,6.50,4.92,1.78
2025-10-29,Nice,Lille,2,0,4.20,4.04,2.81
2025-10-26,Lyon,Strasbourg,2,1,2.13,3.80,4.00
2025-10-26,Angers,Lorient,2,0,2.83,3.20,2.95
2025-10-26,Auxerre,Le Havre,0,1,2.17,3.45,3.76
2025-10-26,Rennes,Nice,1,2,2.23,3.70,3.77
2025-10-26,Lille,Metz,6,1,1.33,7.00,12.71
2025-10-25,Lens,Marseille,2,1,2.70,3.69,2.85
2025-10-25,Monaco,Toulouse,1,0,2.21,3.96,3.76
2025-10-25,Brest,PSG,0,3,9.50,5.80,1.37
2025-10-24,Paris FC,Nantes,1,2,1.67,4.30,6.27
2025-10-19,Nantes,Lille,0,2,5.68,4.02,1.83
2025-10-19,Lorient,Brest,3,3,2.86,3.38,2.85
2025-10-19,Rennes,Auxerre,2,2,1.90,3.82,4.70
2025-10-19,Toulouse,Metz,4,0,1.59,4.50,6.50
2025-10-19,Lens,Paris FC,2,1,1.90,4.00,4.38
2025-10-18,Marseille,Le Havre,6,2,1.36,5.67,10.98
2025-10-18,Angers,Monaco,1,1,5.90,4.20,1.67
2025-10-18,Nice,Lyon,3,2,2.48,3.60,3.28
2025-10-17,PSG,Strasbourg,3,3,1.42,5.80,10.00
2025-10-05,Lille,PSG,1,1,3.86,3.70,2.12
2025-10-05,Monaco,Nice,2,2,2.01,3.95,3.98
2025-10-05,Le Havre,Rennes,2,2,3.34,3.61,2.35
2025-10-05,Strasbourg,Angers,5,0,1.78,3.88,5.30
2025-10-05,Lyon,Toulouse,1,2,2.06,3.50,4.06
2025-10-04,Auxerre,Lens,1,2,3.80,3.90,2.10
2025-10-04,Brest,Nantes,0,0,1.95,3.67,4.30
2025-10-04,Metz,Marseille,0,3,6.75,4.50,1.60
2025-10-03,Paris FC,Lorient,2,0,1.90,3.95,4.85
