Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2025-12-15,Rayo Vallecano,Betis,0,0,2.74,3.35,3.01
2025-12-14,Alaves,Real Madrid,1,2,6.29,4.30,1.61
2025-12-14,Celta Vigo,Ath Bilbao,2,0,3.05,3.27,2.65
2025-12-14,Sevilla,Oviedo,4,0,2.16,3.35,4.08
2025-12-13,Getafe,Espanyol,0,1,2.73,2.91,3.31
2025-12-13,Barcelona,Osasuna,2,0,1.21,8.25,14.60
2025-12-13,Mallorca,Elche,3,1,2.62,3.20,3.28
2025-12-13,Atl. Madrid,Valencia,2,1,1.37,5.61,10.70
2025-12-12,Real Sociedad,Girona,1,2,1.90,3.80,4.67
2025-12-08,Osasuna,Levante,2,0,1.75,4.10,5.40
2025-12-07,Real Madrid,Celta Vigo,0,2,1.33,6.83,11.00
2025-12-07,Espanyol,Rayo Vallecano,1,0,2.48,3.27,3.30
2025-12-07,Valencia,Sevilla,1,1,2.10,3.51,4.13
2025-12-07,Elche,Girona,3,0,2.15,3.45,3.98
2025-12-06,Ath Bilbao,Atl. Madrid,1,0,3.07,3.30,2.65
2025-12-06,Betis,Barcelona,3,5,4.09,4.40,1.95
2025-12-06,Alaves,Real Sociedad,1,0,2.82,3.05,2.98
2025-12-06,Villarreal,Getafe,2,0,1.69,3.85,6.50
2025-12-05,Oviedo,Mallorca,0,0,2.77,3.06,3.15
2025-12-03,Ath Bilbao,Real Madrid,0,3,4.73,4.20,1.90
2025-12-02,Barcelona,Atl. Madrid,3,1,1.76,4.50,5.20
2025-12-01,Rayo Vallecano,Valencia,1,1,2.20,3.39,4.16
2025-11-30,Girona,Real Madrid,1,1,7.58,5.82,1.40
2025-11-30,Celta Vigo,Espanyol,0,1,1.96,3.60,4.45
2025-11-30,Sevilla,Betis,0,2,2.90,3.35,2.78
2025-11-30,Real Sociedad,Villarreal,2,3,2.92,3.50,2.60
2025-11-29,Atl. Madrid,Oviedo,2,0,1.28,6.40,15.00
2025-11-29,Levante,Ath Bilbao,0,2,4.15,3.54,2.10
2025-11-29,Barcelona,Alaves,3,1,1.27,6.75,12.00
2025-11-29,Mallorca,Osasuna,2,2,2.52,3.17,3.34
2025-11-28,Getafe,Elche,1,0,2.34,2.98,4.08
2025-11-24,Espanyol,Sevilla,2,1,1.90,3.81,4.55
2025-11-23,Elche,Real Madrid,2,2,8.00,5.53,1.43
2025-11-23,Getafe,Atl. Madrid,0,1,5.30,3.54,1.90
2025-11-23,Betis,Girona,1,1,1.56,4.90,6.28
2025-11-23,Oviedo,Rayo Vallecano,0,0,3.65,3.35,2.29
2025-11-22,Villarreal,Mallorca,2,1,1.48,5.13,7.92
2025-11-22,Osasuna,Real Sociedad,1,3,2.81,3.15,3.00
2025-11-22,Barcelona,Ath Bilbao,4,0,1.46,5.30,7.02
2025-11-22,Alaves,Celta Vigo,0,1,2.76,3.15,3.15
2025-11-21,Valencia,Levante,1,0,2.14,3.60,3.86
2025-11-09,Celta Vigo,Barcelona,2,4,4.46,4.43,1.80
2025-11-09,Mallorca,Getafe,1,0,2.70,2.98,3.40
2025-11-09,Valencia,Betis,1,1,3.89,3.55,2.20
2025-11-09,Rayo Vallecano,Real Madrid,0,0,6.25,4.90,1.55
2025-11-09,Ath Bilbao,Oviedo,1,0,1.65,3.80,7.53
