Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2026-01-02,Cagliari,AC Milan,0,1,6.73,4.01,1.67
2025-12-29,AS Roma,Genoa,3,1,1.64,3.86,7.11
2025-12-28,Atalanta,Inter,0,1,3.68,3.66,2.29
2025-12-28,Bologna,Sassuolo,1,1,2.03,3.57,4.83
2025-12-28,Cremonese,Napoli,0,2,7.12,3.97,1.62
2025-12-28,AC Milan,Verona,3,0,1.42,5.26,9.64
2025-12-27,Pisa,Juventus,0,2,8.15,4.38,1.52
2025-12-27,Udinese,Lazio,1,1,3.56,3.25,2.60
2025-12-27,Lecce,Como,0,3,5.12,3.50,1.95
2025-12-27,Torino,Cagliari,1,2,1.98,3.50,5.32
2025-12-27,Parma,Fiorentina,1,0,3.81,3.46,2.38
2025-12-21,Genoa,Atalanta,0,1,4.09,3.50,2.15
2025-12-21,Fiorentina,Udinese,5,1,2.27,3.45,3.98
2025-12-21,Sassuolo,Torino,0,1,2.42,3.35,3.47
2025-12-21,Cagliari,Pisa,2,2,2.20,3.45,4.50
2025-12-20,Juventus,AS Roma,2,1,2.20,3.45,4.61
2025-12-20,Lazio,Cremonese,0,0,1.58,4.15,7.14
2025-12-15,AS Roma,Como,1,0,2.26,3.22,3.88
2025-12-14,Bologna,Juventus,0,1,3.68,3.40,2.35
2025-12-14,Genoa,Inter,1,2,8.00,4.50,1.51
2025-12-14,Fiorentina,Verona,1,2,2.05,3.45,4.47
2025-12-14,Udinese,Napoli,1,0,4.83,3.50,1.95
2025-12-14,AC Milan,Sassuolo,2,2,1.53,4.47,7.50
2025-12-13,Atalanta,Cagliari,2,1,1.40,5.40,9.80
2025-12-13,Parma,Lazio,0,1,4.01,3.32,2.20
2025-12-13,Torino,Cremonese,1,0,2.10,3.50,4.01
2025-12-12,Lecce,Pisa,1,0,2.61,2.96,3.50
2025-12-08,Torino,AC Milan,2,3,5.94,3.90,1.75
2025-12-08,Udinese,Genoa,1,2,2.52,3.00,3.46
2025-12-08,Pisa,Parma,0,1,2.59,3.15,3.25
2025-12-07,Napoli,Juventus,2,1,2.73,2.95,3.43
2025-12-07,Lazio,Bologna,1,1,2.40,3.40,3.55
2025-12-07,Cagliari,AS Roma,1,0,6.40,3.70,1.71
2025-12-07,Cremonese,Lecce,2,0,2.48,3.25,3.57
2025-12-06,Verona,Atalanta,3,1,5.97,3.90,1.70
2025-12-06,Inter,Como,4,0,1.65,4.45,6.46
2025-12-06,Sassuolo,Fiorentina,3,1,2.95,3.34,2.73
2025-12-01,Bologna,Cremonese,1,3,1.56,4.40,7.01
2025-11-30,AS Roma,Napoli,0,1,2.87,2.98,3.16
2025-11-30,Atalanta,Fiorentina,2,0,1.72,4.11,5.92
2025-11-30,Pisa,Inter,0,2,12.05,6.59,1.28
2025-11-30,Lecce,Torino,2,1,3.15,3.10,2.75
2025-11-29,AC Milan,Lazio,1,0,1.75,3.80,5.67
2025-11-29,Juventus,Cagliari,2,1,1.25,6.60,14.50
2025-11-29,Genoa,Verona,2,1,2.12,2.95,5.05
2025-11-29,Parma,Udinese,0,2,2.89,3.10,2.95
2025-11-28,Como,Sassuolo,2,0,1.85,3.75,4.96
2025-11-24,Sassuolo,Pisa,2,2,2.04,3.40,4.35
2025-11-24,Torino,Como,1,5,3.88,3.25,2.30
2025-11-23,Inter,AC Milan,0,1,2.15,3.60,4.40
2025-11-23,Lazio,Lecce,2,0,1.85,3.85,6.33
2025-11-23,Cremonese,AS Roma,1,3,5.79,4.05,1.80
2025-11-23,Verona,Parma,1,2,2.38,3.20,4.15
2025-11-23,Napoli,Atalanta,3,1,2.45,3.30,3.72
2025-11-23,Fiorentina,Juventus,1,1,4.18,3.46,2.12
2025-11-23,Cagliari,Genoa,3,3,3.38,3.00,2.91
2025-11-23,Udinese,Bologna,0,3,3.75,3.35,2.60
2025-11-09,Inter,Lazio,2,0,1.37,5.60,10.53
2025-11-09,AS Roma,Udinese,2,0,1.57,4.20,7.27
2025-11-09,Bologna,Napoli,2,0,3.25,3.00,2.90
2025-11-09,Genoa,Fiorentina,2,2,3.16,3.00,2.85
2025-11-09,Atalanta,Sassuolo,0,3,1.57,4.70,7.25
2025-11-08,Parma,AC Milan,2,2,7.75,4.30,1.55
2025-11-08,Juventus,Torino,0,0,1.55,4.40,7.61
2025-11-08,Como,Cagliari,0,0,1.61,4.20,7.25
2025-11-08,Lecce,Verona,0,0,2.93,2.93,3.21
2025-11-07,Pisa,Cremonese,1,0,2.38,3.16,3.62
2025-11-03,Lazio,Cagliari,2,0,1.67,3.86,6.58
2025-11-03,Sassuolo,Genoa,1,2,2.60,3.05,3.48
2025-11-02,AC Milan,AS Roma,1,0,2.44,3.25,3.86
2025-11-02,Parma,Bologna,1,3,5.02,3.45,2.02
2025-11-02,Fiorentina,Lecce,0,1,1.75,3.70,5.93
2025-11-02,Torino,Pisa,2,2,1.88,3.60,5.40
2025-11-02,Verona,Inter,1,2,9.73,5.14,1.41
2025-11-01,Cremonese,Juventus,1,2,7.03,4.50,1.57
2025-11-01,Napoli,Como,0,0,1.97,3.50,4.92
2025-11-01,Udinese,Atalanta,1,0,5.43,3.95,1.75
2025-10-30,Pisa,Lazio,0,0,4.25,3.32,2.21
2025-10-30,Cagliari,Sassuolo,1,2,2.76,3.35,3.03
2025-10-29,Bologna,Torino,0,0,1.85,3.62,5.24
2025-10-29,Genoa,Cremonese,0,2,1.86,3.60,5.46
2025-10-29,Inter,Fiorentina,3,0,1.41,5.60,10.00
2025-10-29,AS Roma,Parma,2,1,1.50,4.50,9.17
2025-10-29,Como,Verona,3,1,1.63,3.95,6.94
2025-10-29,Juventus,Udinese,3,1,1.50,4.70,7.75
2025-10-28,Atalanta,AC Milan,1,1,2.77,3.55,2.92
2025-10-28,Lecce,Napoli,0,1,7.13,4.47,1.65
2025-10-26,Lazio,Juventus,1,0,3.80,3.35,2.37
2025-10-26,Fiorentina,Bologna,2,2,2.87,3.20,2.97
2025-10-26,Sassuolo,AS Roma,0,1,4.53,3.65,1.95
2025-10-26,Verona,Cagliari,2,2,2.29,3.35,4.76
2025-10-26,Torino,Genoa,2,1,2.57,3.00,3.71
2025-10-25,Cremonese,Atalanta,1,1,7.00,4.87,1.62
2025-10-25,Napoli,Inter,3,1,3.88,3.30,2.49
2025-10-25,Parma,Como,0,0,4.66,3.55,2.05
2025-10-25,Udinese,Lecce,3,2,2.02,3.50,4.98
2025-10-24,AC Milan,Pisa,2,2,1.34,5.94,11.75
2025-10-20,Cremonese,Udinese,1,1,3.32,3.17,2.52
2025-10-19,AC Milan,Fiorentina,2,1,1.75,4.24,6.45
2025-10-19,Atalanta,Lazio,0,0,1.90,3.88,4.50
2025-10-19,Cagliari,Bologna,0,2,4.18,3.35,2.15
2025-10-19,Genoa,Parma,0,0,2.35,3.20,3.96
2025-10-19,Como,Juventus,2,0,3.39,3.39,2.45
2025-10-19,AS Roma,Inter,0,1,3.82,3.45,2.30
2025-10-19,Torino,Napoli,1,0,5.65,3.52,1.90
2025-10-19,Lecce,Sassuolo,0,0,2.94,3.11,2.83
2025-10-19,Pisa,Verona,0,0,2.84,3.14,3.12
2025-10-05,Juventus,AC Milan,0,0,2.85,3.10,2.96
2025-10-05,Napoli,Genoa,2,1,1.49,4.30,9.66
2025-10-05,Bologna,Pisa,4,0,1.73,3.75,5.72
2025-10-05,Fiorentina,AS Roma,1,2,3.24,3.30,2.50
2025-10-05,Udinese,Cagliari,1,1,2.19,3.35,4.10
2025-10-04,Atalanta,Como,1,1,2.25,3.50,3.70
2025-10-04,Inter,Cremonese,4,1,1.20,8.50,21.00
2025-10-04,Lazio,Torino,3,3,2.14,3.50,4.64
2025-10-04,Parma,Lecce,0,1,1.96,3.50,4.68
2025-10-03,Verona,Sassuolo,0,1,2.42,3.30,3.45
2025-09-29,Genoa,Lazio,0,3,3.06,3.05,2.84
2025-09-29,Parma,Torino,2,1,2.63,3.20,3.28
2025-09-28,AC Milan,Napoli,2,1,2.00,3.64,4.42
2025-09-28,Lecce,Bologna,2,2,6.00,3.77,1.80
2025-09-28,AS Roma,Verona,2,0,1.44,4.60,9.40
2025-09-28,Pisa,Fiorentina,0,0,3.73,3.45,2.25
2025-09-28,Sassuolo,Udinese,3,1,2.49,3.35,3.40
2025-09-27,Cagliari,Inter,0,2,7.40,4.50,1.55
2025-09-27,Juventus,Atalanta,1,1,2.08,3.60,4.65
2025-09-27,Como,Cremonese,1,1,1.50,4.81,8.50
2025-09-22,Napoli,Pisa,3,2,1.34,5.46,12.11
2025-09-21,Inter,Sassuolo,2,1,1.35,5.80,10.40
2025-09-21,Fiorentina,Como,1,2,2.78,3.40,2.95
2025-09-21,Cremonese,Parma,0,0,3.20,3.38,2.65
2025-09-21,Torino,Atalanta,0,3,4.42,3.50,2.15
2025-09-21,Lazio,AS Roma,0,1,2.90,3.05,2.97
2025-09-20,Udinese,AC Milan,0,3,5.60,4.18,1.70
2025-09-20,Verona,Juventus,1,1,7.60,4.20,1.57
2025-09-20,Bologna,Genoa,2,1,2.18,3.19,4.60
2025-09-19,Lecce,Cagliari,1,2,2.97,2.96,2.89
2025-09-15,Como,Genoa,1,1,1.75,3.80,6.20
2025-09-15,Verona,Cremonese,0,0,2.97,3.10,3.23
2025-09-14,AC Milan,Bologna,1,0,1.93,3.65,5.19
2025-09-14,Sassuolo,Lazio,1,0,4.50,3.60,2.06
2025-09-14,Atalanta,Lecce,4,1,1.43,5.07,9.00
2025-09-14,Pisa,Udinese,0,1,3.01,3.11,2.77
2025-09-14,AS Roma,Torino,0,1,1.56,4.33,7.23
2025-09-13,Fiorentina,Napoli,1,3,4.67,3.35,2.25
2025-09-13,Juventus,Inter,4,3,2.95,3.15,2.90
2025-09-13,Cagliari,Parma,2,0,2.35,3.25,3.75
2025-08-31,Inter,Udinese,1,2,1.30,6.07,11.35
2025-08-31,Lazio,Verona,4,0,1.60,4.00,7.25
2025-08-31,Genoa,Juventus,0,1,5.56,3.50,1.91
2025-08-31,Torino,Fiorentina,0,0,3.40,3.30,2.52
2025-08-30,Napoli,Cagliari,1,0,1.45,4.58,9.50
2025-08-30,Pisa,AS Roma,0,1,5.62,3.70,1.75
2025-08-30,Bologna,Como,1,0,2.96,3.15,2.80
2025-08-30,Parma,Atalanta,1,1,4.70,3.94,1.85
2025-08-29,Lecce,AC Milan,0,2,7.54,4.00,1.67
2025-08-29,Cremonese,Sassuolo,3,2,2.96,3.26,2.75
2025-08-25,Inter,Torino,5,0,1.38,5.40,9.30
2025-08-25,Udinese,Verona,1,1,2.05,3.35,4.71
2025-08-24,Atalanta,Pisa,1,1,1.51,4.90,7.50
2025-08-24,Juventus,Parma,2,0,1.45,4.80,8.41
2025-08-24,Cagliari,Fiorentina,1,1,3.45,3.35,2.62
2025-08-24,Como,Lazio,2,0,2.55,3.45,3.26
2025-08-23,AC Milan,Cremonese,1,2,1.39,5.57,10.26
2025-08-23,AS Roma,Bologna,1,0,2.23,3.35,3.75
2025-08-23,Genoa,Lecce,0,0,1.82,3.50,5.88
2025-08-23,Sassuolo,Napoli,0,2,6.10,3.92,1.72
