Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2025-12-14,Freiburg,Dortmund,1,1,4.09,3.69,2.05
2025-12-13,Bayer Leverkusen,FC Koln,2,0,1.83,4.30,4.40
2025-12-13,B. Monchengladbach,Wolfsburg,1,3,2.06,3.86,3.80
2025-12-13,Eintracht Frankfurt,Augsburg,1,0,1.95,3.93,4.20
2025-12-13,Hoffenheim,Hamburger SV,4,1,1.75,4.31,4.68
2025-12-13,St. Pauli,Heidenheim,2,1,1.94,3.55,4.60
2025-12-12,Union Berlin,RB Leipzig,3,1,3.26,3.50,2.39
2025-12-07,Dortmund,Hoffenheim,2,0,1.66,4.64,5.60
2025-12-07,Hamburger SV,Werder Bremen,3,2,2.50,3.57,3.00
2025-12-06,RB Leipzig,Eintracht Frankfurt,6,0,1.79,4.25,4.50
2025-12-06,FC Koln,St. Pauli,1,1,2.12,3.62,3.90
2025-12-06,Augsburg,Bayer Leverkusen,2,0,3.60,3.77,2.18
2025-12-06,Heidenheim,Freiburg,2,1,5.10,3.70,1.83
2025-12-06,Stuttgart,Bayern Munich,0,5,4.90,4.95,1.63
2025-12-06,Wolfsburg,Union Berlin,3,1,2.10,3.60,3.92
2025-12-05,Mainz,B. Monchengladbach,0,1,2.79,3.60,2.66
2025-11-30,Freiburg,Mainz,4,0,1.83,3.88,5.00
2025-11-30,Eintracht Frankfurt,Wolfsburg,1,1,2.00,4.00,3.81
2025-11-30,Hamburger SV,Stuttgart,2,1,2.97,3.61,2.56
2025-11-29,Bayer Leverkusen,Dortmund,1,2,2.76,3.69,2.63
2025-11-29,Bayern Munich,St. Pauli,3,1,1.13,12.00,24.00
2025-11-29,Hoffenheim,Augsburg,3,0,1.77,4.30,4.55
2025-11-29,Union Berlin,Heidenheim,1,2,1.63,4.04,6.50
2025-11-29,Werder Bremen,FC Koln,1,1,2.27,3.91,3.40
2025-11-28,B. Monchengladbach,RB Leipzig,0,0,3.06,3.90,2.35
2025-11-23,St. Pauli,Union Berlin,0,1,2.72,3.30,3.05
2025-11-23,RB Leipzig,Werder Bremen,2,0,1.56,5.30,6.37
2025-11-22,FC Koln,Eintracht Frankfurt,3,4,3.08,3.95,2.50
2025-11-22,Augsburg,Hamburger SV,1,0,2.55,3.75,2.95
2025-11-22,Bayern Munich,Freiburg,6,2,1.20,8.68,18.50
2025-11-22,Dortmund,Stuttgart,3,3,1.90,4.20,4.40
2025-11-22,Heidenheim,B. Monchengladbach,0,3,3.68,3.82,2.23
2025-11-22,Wolfsburg,Bayer Leverkusen,1,3,3.70,3.96,2.11
2025-11-21,Mainz,Hoffenheim,1,1,2.60,3.68,2.85
2025-11-09,Eintracht Frankfurt,Mainz,1,0,1.90,4.08,4.09
2025-11-09,Stuttgart,Augsburg,3,2,1.59,4.80,6.25
2025-11-09,Freiburg,St. Pauli,2,1,1.83,3.70,5.20
2025-11-08,B. Monchengladbach,FC Koln,3,1,2.15,3.81,3.58
2025-11-08,Bayer Leverkusen,Heidenheim,6,0,1.46,5.40,7.75
2025-11-08,Hamburger SV,Dortmund,1,1,4.14,4.00,1.95
2025-11-08,Hoffenheim,RB Leipzig,3,1,2.82,3.99,2.45
